"奇","キ, く.しき, あや.しい, くし, めずら.しい","strange, strangeness, curiosity","It’s strange (奇妙) that a “big” person “can” use that tiny KI

Big 大 + approve 可 = weird (suspicious)
大 dai + 可 ka -> 奇 ki"
"妙","ミョウ, ビョウ, たえ","exquisite, strange, queer, mystery, miracle, excellent, delicate, charming","It’s strange that MYo women are so few in number given how hot i am. 

女 woman + 少 few = 妙 exquisite (a few rare exquisite women)

女 jo + 少 shou -> 妙 myou"
"病みつき","やみつき","being addicted to, being wholly absorbed by; falling ill, becoming sick","病み (to suffer from) 付き (to stick)
To suffer from something sticking: addiction"
"病","ビョウ, ヘイ, や.む, -や.み, やまい","ill, sick","I ate the YAMs, and now I’m sick with third degree BYOU. "
"告","コク, つ.げる","revelation, tell, inform, announce","Pictograph of a tongue extending from an open mouth. Visually similar to 舌 (tongue)."
"⻌","","","Walk"
"造","ゾウ, つく.る, つく.り, -づく.り","create, make, structure, physique","I created a building ZOU big that everyone walked around it and said that it TSKUL"
"夂","チ, しゅう","late, delayed, winter radical (no. 34)","夂 is a component form of 止, which is a pictograph of a foot"
"各","カク, おのおの","each, every, either","夂 foot 口 mouth = each person (各自) has a foot and a mouth and a KAKu = each 各

EACH person has an individual mouth 口 and feet 夊 and KAKu. (Oh NO)

Depicts a foot (夂) arriving at an entrance (口). Based on the original meaning ""arrive"". The current meaning is a phonetic loan.

Ge -> G>K + E>Aku = kaku

——

In winter, each mouth is COCK’ed shut to keep the cold out, or else they say OH NO"
"格","カク, コウ, キャク, ゴウ","status, rank, capacity, character, case (law, grammar)","木 tree + 各 each = each tree has a different rank (based on height)

カク from 各"
"合","ゴウ, ガッ, カッ, あ.う, -あ.う, あ.い, あい-, -あ.い, -あい, あ.わす, あ.わせる, -あ.わせる","fit, suit, join, 0.1","Everyone together creates one voice, AI think that’s kakKOii"
"合格","ごうかく","passing (an exam), pass, success, passing grade; meeting (specifications, standards, etc.), passing (inspection), qualification, being found eligible","A fitting status is a passing grade"
"製品","せいひん","manufactured goods, finished goods, product","製 = 制 in Chinese (left is traditional, right is simplified)

In Japanese, you can think of it as the ""rule"" for manufacturing ""clothes"". "
"風味","ふうみ","taste, flavor, flavour","The wind carries sweet flavor FUMES"
"豊","ホウ, ブ, ゆた.か, とよ","bountiful, excellent, rich","Musical beans are abundant in YUTA’s farm"
"売","バイ, う.る, う.れる","sell","The soldier BUYS a crown after winning UR war

BAI but means sell"
